epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1635.33,2.05574,2.61527,2.26076,0.19497,0.26075,0.10427,0.01973,3.20544,2.86233,4.42324,0.0670106,0.000333227,0.000333227
2,3256.7,1.95598,2.50897,2.17261,0.38299,0.24117,0.2085,0.04103,3.13813,2.66934,4.52846,0.034004,0.000659961,0.000659961
3,4885.04,1.91026,2.45046,2.12657,0.30488,0.2258,0.17234,0.03466,3.14284,2.63697,4.46233,0.000990776,0.000980095,0.000980095
4,6524.91,1.87393,2.39826,2.0922,0.36786,0.27473,0.24048,0.0489,3.0748,2.33051,4.42139,0.0009703,0.0009703,0.0009703
5,8175.95,1.84552,2.35337,2.05935,0.40145,0.29011,0.25979,0.05458,3.11339,2.25968,4.51554,0.0009604,0.0009604,0.0009604
6,9831.72,1.82405,2.3164,2.03552,0.40823,0.2971,0.27562,0.06083,3.06424,2.20507,4.60428,0.0009505,0.0009505,0.0009505
7,11487.4,1.80784,2.29322,2.019,0.41518,0.30059,0.26999,0.05822,3.0923,2.22487,4.82266,0.0009406,0.0009406,0.0009406
8,13138.7,1.79842,2.26634,2.00439,0.39964,0.30037,0.2755,0.0609,3.05273,2.22008,4.81149,0.0009307,0.0009307,0.0009307
9,14797,1.78156,2.25233,1.99094,0.40145,0.30584,0.2786,0.05875,3.04404,2.16644,4.89417,0.0009208,0.0009208,0.0009208
10,16452.6,1.77466,2.22984,1.98116,0.3915,0.32052,0.28289,0.06043,3.04447,2.17745,5.02862,0.0009109,0.0009109,0.0009109
11,18107.6,1.76528,2.21748,1.97441,0.39214,0.31213,0.28428,0.06436,3.03277,2.12922,4.92855,0.000901,0.000901,0.000901
12,19772.9,1.75715,2.20017,1.96462,0.39954,0.31283,0.28295,0.0636,3.03835,2.11955,5.03438,0.0008911,0.0008911,0.0008911
13,21436,1.7552,2.18952,1.95992,0.37784,0.331,0.28928,0.06625,3.03604,2.11043,5.04906,0.0008812,0.0008812,0.0008812
14,23103.9,1.74098,2.17596,1.94657,0.39694,0.33065,0.30292,0.06983,3.01815,2.08963,5.05623,0.0008713,0.0008713,0.0008713
15,24769.9,1.73687,2.16996,1.94238,0.3958,0.33205,0.30569,0.07082,3.0119,2.07221,5.0228,0.0008614,0.0008614,0.0008614
16,1819.08,1.74492,2.2109,1.97054,0.40489,0.3303,0.30971,0.07158,3.01913,2.05909,5.06363,0.0008515,0.0008515,0.0008515
17,3640.1,1.7429,2.20628,1.96834,0.41384,0.32525,0.31137,0.07113,3.01643,2.04549,5.04159,0.0008416,0.0008416,0.0008416
18,5458.81,1.73528,2.18516,1.96002,0.40617,0.33345,0.31207,0.07125,3.01438,2.03325,5.01097,0.0008317,0.0008317,0.0008317
19,7273.27,1.73057,2.1753,1.94956,0.39776,0.33625,0.31131,0.07184,3.01435,2.02713,5.0119,0.0008218,0.0008218,0.0008218
20,9088.99,1.7239,2.17135,1.9436,0.39752,0.33625,0.30867,0.07103,3.01493,2.01903,5.03797,0.0008119,0.0008119,0.0008119
21,10904.9,1.72154,2.16714,1.94042,0.39776,0.33834,0.31086,0.07155,3.01362,2.01017,5.05164,0.000802,0.000802,0.000802
22,12718.3,1.71673,2.15649,1.93611,0.39312,0.33894,0.30865,0.07129,3.01193,2.00528,5.0694,0.0007921,0.0007921,0.0007921
23,14532.5,1.71251,2.1463,1.92875,0.39949,0.3374,0.31096,0.07124,3.00932,1.99831,5.07219,0.0007822,0.0007822,0.0007822
24,16345.5,1.70993,2.14154,1.92492,0.39191,0.34778,0.31295,0.07144,3.00716,1.99161,5.08322,0.0007723,0.0007723,0.0007723
25,1832.24,1.69516,2.14004,1.92327,0.39185,0.34953,0.31306,0.07152,3.00739,1.99119,5.09977,0.0007624,0.0007624,0.0007624
